Step;N 
155500 ; 12
155600 ; 8
155700 ; 9
155800 ; 15
155900 ; 21
156000 ; 11
156100 ; 14
156200 ; 15
156300 ; 24
156400 ; 14
156500 ; 15
156600 ; 25
156700 ; 26
156800 ; 41
156900 ; 32
157000 ; 18
157100 ; 24
157200 ; 36
157300 ; 23
157400 ; 24
157500 ; 14
157600 ; 21
157700 ; 18
157800 ; 16
157900 ; 18
158000 ; 22
158100 ; 33
158200 ; 16
158300 ; 16
158400 ; 12
158500 ; 13
158600 ; 16
158700 ; 17
158800 ; 30
158900 ; 32
159000 ; 15
159100 ; 14
159200 ; 23
159300 ; 24
159400 ; 16
159500 ; 28
159600 ; 13
159700 ; 24
159800 ; 21
159900 ; 14
160000 ; 42
160100 ; 22
160200 ; 11
160300 ; 21
160400 ; 26
160500 ; 11
160600 ; 26
160700 ; 17
160800 ; 26
160900 ; 15
161000 ; 15
161100 ; 13
161200 ; 23
161300 ; 15
161400 ; 37
161500 ; 21
161600 ; 16
161700 ; 27
161800 ; 22
161900 ; 18
162000 ; 25
162100 ; 20
162200 ; 13
162300 ; 16
162400 ; 14
162500 ; 17
162600 ; 10
162700 ; 19
162800 ; 29
162900 ; 27
163000 ; 23
163100 ; 31
163200 ; 16
163300 ; 18
163400 ; 26
163500 ; 26
163600 ; 14
163700 ; 25
163800 ; 14
163900 ; 17
164000 ; 38
164100 ; 10
164200 ; 19
164300 ; 11
164400 ; 26
164500 ; 26
164600 ; 23
164700 ; 23
164800 ; 17
164900 ; 26
165000 ; 28
165100 ; 28
165200 ; 16
165300 ; 7
165400 ; 16
165500 ; 13
165600 ; 15
165700 ; 13
165800 ; 19
165900 ; 24
166000 ; 14
166100 ; 16
166200 ; 17
166300 ; 19
166400 ; 20
166500 ; 11
166600 ; 16
166700 ; 9
166800 ; 10
166900 ; 6
167000 ; 15
167100 ; 23
167200 ; 7
167300 ; 24
167400 ; 10
167500 ; 22
167600 ; 13
167700 ; 34
167800 ; 13
167900 ; 21
168000 ; 16
168100 ; 18
168200 ; 15
168300 ; 20
168400 ; 9
168500 ; 14
168600 ; 18
168700 ; 45
168800 ; 16
168900 ; 24
169000 ; 48
169100 ; 12
169200 ; 20
169300 ; 7
169400 ; 13
169500 ; 27
169600 ; 26
169700 ; 13
169800 ; 8
169900 ; 13
170000 ; 14
170100 ; 15
170200 ; 18
170300 ; 16
170400 ; 9
170500 ; 16
170600 ; 19
170700 ; 19
170800 ; 20
170900 ; 22
171000 ; 14
171100 ; 25
171200 ; 40
171300 ; 21
171400 ; 19
171500 ; 19
171600 ; 11
171700 ; 16
171800 ; 25
171900 ; 13
172000 ; 10
172100 ; 19
172200 ; 15
172300 ; 13
172400 ; 15
172500 ; 19
172600 ; 18
172700 ; 15
172800 ; 15
172900 ; 51
173000 ; 17
173100 ; 28
173200 ; 27
173300 ; 12
173400 ; 38
173500 ; 13
173600 ; 18
173700 ; 26
173800 ; 33
173900 ; 10
174000 ; 39
174100 ; 14
174200 ; 15
174300 ; 22
174400 ; 13
174500 ; 19
174600 ; 12
