Step;N 
168400 ; 272
168500 ; 290
168600 ; 276
168700 ; 289
168800 ; 283
168900 ; 279
169000 ; 293
169100 ; 286
169200 ; 286
169300 ; 280
169400 ; 296
169500 ; 287
169600 ; 290
169700 ; 295
169800 ; 289
169900 ; 299
170000 ; 281
170100 ; 287
170200 ; 278
170300 ; 283
170400 ; 288
170500 ; 283
170600 ; 282
170700 ; 287
170800 ; 281
170900 ; 294
171000 ; 294
171100 ; 280
171200 ; 278
171300 ; 296
171400 ; 290
171500 ; 291
171600 ; 267
171700 ; 301
171800 ; 281
171900 ; 277
172000 ; 283
172100 ; 276
172200 ; 274
172300 ; 283
172400 ; 284
172500 ; 290
172600 ; 276
172700 ; 285
172800 ; 267
172900 ; 294
173000 ; 290
173100 ; 313
173200 ; 281
173300 ; 289
173400 ; 294
173500 ; 292
173600 ; 287
173700 ; 286
173800 ; 279
173900 ; 287
174000 ; 280
174100 ; 292
174200 ; 287
174300 ; 296
174400 ; 266
174500 ; 266
174600 ; 268
